Gender,IMSA_SchedYearofGraduation,Grade_TermID,Grade_Year,Grade_StoreCode,Grade_Point_Solid,Grade_Point,Grade,Course_Number,Course_Name,Credit_Type,Student_GradeLevel
Female,2012,2101,2012,S1,3,3,B,NULL,Modern World Fiction,"Eng,t",12
Female,2012,2101,2012,S1,3,3.33,B+,NULL,Differential Equations,"Math,t",12
Female,2012,2101,2012,S1,3,3.33,B+,NULL,Biochemistry,"Sci,t",12
Female,2012,2101,2012,S1,3,2.67,B-,NULL,Molecular and Cellular Biology,"Sci,t",12
Female,2012,2101,2012,S1,3,3.33,B+,NULL,German III,"WLang,t",12
Female,2012,2102,2012,S2,3,2.67,B-,NULL,Modern Theater,"Eng,t",12
Female,2012,2102,2012,S2,4,3.67,A-,NULL,International Relations,"HistSS,t",12
Female,2012,2102,2012,S2,2,2,C,NULL,Multi-Variable Calculus,"Math,t",12
Female,2012,2102,2012,S2,3,2.67,B-,NULL,Modern Physics,"Sci,t",12
Female,2012,2102,2012,S2,P,P,P,NULL,Physiology and Disease,t,12
Female,2012,2102,2012,S2,3,3,B,NULL,German III,"WLang,t",12
Male,2012,2100,2012,S2,P,P,P,NULL,Student Inquiry and Research,"SIR,t",12
Male,2012,2100,2012,S1,P,P,P,NULL,Student Inquiry and Research,"SIR,t",12
Male,2012,2101,2012,S1,3,3.33,B+,NULL,Modern World Fiction,"Eng,t",12
Male,2012,2101,2012,S1,4,3.67,A-,NULL,BC Calculus II,"Math,t",12
Male,2012,2101,2012,S1,3,3,B,NULL,Organic Chemistry I,"Sci,t",12
Male,2012,2101,2012,S1,3,3,B,NULL,Physics: Calculus-based Mechanics,"Sci,t",12
Male,2012,2101,2012,S1,4,4,A,NULL,Mandarin Chinese II,"WLang,t",12
Male,2012,2102,2012,S2,4,3.67,A-,NULL,Creative Writing Workshop,"Eng,t",12
Male,2012,2102,2012,S2,4,4,A,NULL,International Relations,"HistSS,t",12
Male,2012,2102,2012,S2,2,2.33,C+,NULL,BC Calculus III,"Math,t",12
Male,2012,2102,2012,S2,2,2.33,C+,NULL,Discrete Mathematics,"Math,t",12
Male,2012,2102,2012,S2,4,4,A,NULL,Mandarin Chinese II,"WLang,t",12
Female,2012,2101,2012,S1,2,2.33,C+,NULL,Graphic Novels: Image and Text,"Eng,t",12
